Common Name,nid,scientific_name,category,scientific_family
Edible Hibiscus,,Abelmoschus manihot,"fruit, California, California rare fruits, rare fruits",Malvaceae
Eggfruit,,Pouteria campechiana,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Egyptian Carissa,,Carissa edulis,"fruit, California, California rare fruits, rare fruits",Apocynaceae
Elderberry,269,Sambucus caerulea,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Elephant Apple,7837,Dillenia indica,"fruit, California, California rare fruits, rare fruits",Dilleniaceae
Elephant Apple,7837,Limonia acidissima,"fruit, California, California rare fruits, rare fruits",Rutaceae
Emblic,7849,Phyllanthus emblica,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Engkala,7860,Litsea garciae,"fruit, California, California rare fruits, rare fruits",Lauraceae
English Walnut,7868,Juglans regia,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Escobillo,,Malphighia punicifolia,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Ethiopian Black Banana,,Ensete maurelli,"fruit, California, California rare fruits, rare fruits",Musaceae
Etrog Citron,7895,Citrus medica var. ethrog,"fruit, California, California rare fruits, rare fruits",Rutaceae
European Black Currant,,Ribes nigrum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
European Chestnut,7899,Castanea sativa,"fruit, California, California rare fruits, rare fruits",Fagaceae
European Crab Apple,,Malus seiboldi,"fruit, California, California rare fruits, rare fruits",Rosaceae
European Elderberry,,Sambucus nigra,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
European Gooseberry,,Ribes uva crispa,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
European Grape,,Vitis vinifera,"fruit, California, California rare fruits, rare fruits",Vitaceae
European Hackberry,,Celtis australis,"fruit, California, California rare fruits, rare fruits",Ulmaceae
European Hazelnut,,Corylus avellana,"fruit, California, California rare fruits, rare fruits",Betulaceae
European Mountain Ash,,Sorbus aucuparia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Evergreen Blackberry,,Vaccinium laciniatus,"fruit, California, California rare fruits, rare fruits",Ericaceae
Evergreen Huckleberry,7909,Vaccinium ovatum,"fruit, California, California rare fruits, rare fruits",Ericaceae
False Mangosteen,7943,Rheedia macrocarpa,"fruit, California, California rare fruits, rare fruits",Guttiferae
Farkleberry,,Vaccinium arboreum,"fruit, California, California rare fruits, rare fruits",Ericaceae
Feijoa,9566,Feijoa sellowiana,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Fig,,Ficus carica,"fruit, California, California rare fruits, rare fruits",Moraceae
Fijian Longan,7994,Pometia pinnata,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Filbert,7995,Corylus,"fruit, California, California rare fruits, rare fruits",Betulaceae
Finger Lime,9572,Microcitrus australasica,"fruit, California, California rare fruits, rare fruits",Rutaceae
Flatwoods Plum,,Prunus umbellata,"fruit, California, California rare fruits, rare fruits",Rosaceae
Florida Arrowroot,,Zamia integrifolia,"fruit, California, California rare fruits, rare fruits",Cycadaceae
Florida Cherry,,Eugenia uniflora,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Florida Evergreen Blueberry,,Vaccinium myrsinites,"fruit, California, California rare fruits, rare fruits",Ericaceae
Florida Gooseberry,,Dovyalis abyssinica X hebecarpa,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Floridamia Nut Palm,,Gastrococos crispa,"fruit, California, California rare fruits, rare fruits",Palmea
Flying Dragon,,Poncirus trifoliata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Fox Grape,,Vitis labrusca,"fruit, California, California rare fruits, rare fruits",Vitaceae
Fragrant Granadilla,8074,Passiflora alata,"fruit, California, California rare fruits, rare fruits",Passifloraceae
French Peanut,,Pachira aquatica,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Fried Egg Tree,,Oncoba spinosa,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Fruit Salad Plant,,Monstera deliciosa,"fruit, California, California rare fruits, rare fruits",Araceae
Fukushu Kumquat,,Fortunella obovata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Galangale,,Alpinia officinarum,"fruit, California, California rare fruits, rare fruits",Zingiberaceae
Galumpi,,Clausena lansium,"fruit, California, California rare fruits, rare fruits",Rutaceae
Gamboge,8153,Garcinia xanthochymus,"fruit, California, California rare fruits, rare fruits",Guttiferae
Gandaria,,Bouea gandaria,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Genip (Genipe),,Melicoccus bijugatus,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Genipap,,Genipa americana,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Giant Granadilla,9599,Passiflora quadrangularis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Giant Sunflower,,Helianthus giganteus,"fruit, California, California rare fruits, rare fruits",Compositae
Ginger,,Zingiber officinale,"fruit, California, California rare fruits, rare fruits",Zingiberaceae
Ginkgo Nut,,Ginkgo biloba,"fruit, California, California rare fruits, rare fruits",Ginkgoaceae
Ginseng,,Panax quinquefolius,"fruit, California, California rare fruits, rare fruits",Araliaceae
Goatnut,,Simmonsia chinesis,"fruit, California, California rare fruits, rare fruits",Buxaceae
Golden Apple,321,Aegle marmelos,"fruit, California, California rare fruits, rare fruits",Rutaceae
Golden Plum,,Prunus bokariensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Golden Spoon,,Byrsonima crassifolia,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Gooseberry,325,Ribes,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Goumi,9609,Elaeagnus multiflora,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Governor's Plum,8299,Flacourtia indica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Granada,,Punica granatum,"fruit, California, California rare fruits, rare fruits",Punicaceae
Granadilla,9614,Passiflora,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Grape-leaved Passion Fruit,,Passiflora vitifolia,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Grapefruit,334,Citrus X paradisi,"fruit, California, California rare fruits, rare fruits",Rutaceae
Grauda,,Myrciaria jaboticaba,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Green Almond,,Pistacia vera,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Green Gram,,Vigna radiata,"fruit, California, California rare fruits, rare fruits",Leguminosae
Green Sapote,8343,Pouteria viridis,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Grosella,,Phyllanthus acidus,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Ground Cherry,8367,Physalis pubescens,"fruit, California, California rare fruits, rare fruits",Solanaceae
Ground Cherry,8367,Physalis peruviana,"fruit, California, California rare fruits, rare fruits",Solanaceae
Gru-gru Palm,,Acrocomia totai,"fruit, California, California rare fruits, rare fruits",Palmae
Grumichama,8382,Eugenia brasiliensis,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Grumixameira,,Eugenia brasiliensis,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Guabiroba,,Campomanesia corymbosa,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Guabiroba,,Campomanesia discolor,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Guajilote,8458,Parmentiera edulis,"fruit, California, California rare fruits, rare fruits",Bignoniaceae
Guama,,Inga,"fruit, California, California rare fruits, rare fruits",Leguminosae
Guamo,,Inga,"fruit, California, California rare fruits, rare fruits",Leguminosae
Guanabana,346,Annona muricata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Guatemalan Avocado,,Persea nubigena,"fruit, California, California rare fruits, rare fruits",Lauraceae
Guava,,Psidium guajava,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Guava Berry,,Myrciaria floribunda,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Guavira Mi,8461,Campomanesia observa,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Guayo,,Talisia oliviformis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Guiana Chestnut,8387,Pachira aquatica,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Gumi,,Elaeagnus multiflora,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Guyaba,,Psidium guajava,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Habbel,,Juniperus drupacea,"fruit, California, California rare fruits, rare fruits",Cupressacae
Hackberry,9640,Celtis,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Hardy Kiwi,9649,Actinidia arguta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Harendog,,Melastoma malabathricum,"fruit, California, California rare fruits, rare fruits",Melastomaceae
Hawthorn,,Crataegus aestivalis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Hazelnut,,Corylus,"fruit, California, California rare fruits, rare fruits",Betulaceae
Hedgerow Rose,,Rosa rugosa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Herbert River Cherry,8556,Antidesma dallachyanum,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Highbush Blueberry,,Vaccinium corymbosum,"fruit, California, California rare fruits, rare fruits",Ericaceae
Highbush Cranberry,,Viburnum trilobum,"fruit, California, California rare fruits, rare fruits",Caporifoliaceae
Hilama,,Annona diversifolia,"fruit, California, California rare fruits, rare fruits",Annonaceae
Hog Plum,8593,Prunus americana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Hog Plum,8593,Spondias mombin,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Hog Plum,8593,Spondias pinnata,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Hog Plum,8593,Spondias purperea,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Hog Plum,8593,Ximenia americana,"fruit, California, California rare fruits, rare fruits",Olacaceae
Hondapara Tree,,Dillenia indica,"fruit, California, California rare fruits, rare fruits",Dilleniaceae
Honey Locust,,Gleditsia triacanthos,"fruit, California, California rare fruits, rare fruits",Leguminosae
Horse Mango,8629,Mangifera foetida,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Horseradish Tree,8631,Moringa olifera,"fruit, California, California rare fruits, rare fruits",Moringaceae
Hottentot Fig,,Carpobrotus edulis,"fruit, California, California rare fruits, rare fruits",Aizoaceae
Husk Tomato,,Physalis ixocarpa,"fruit, California, California rare fruits, rare fruits",Solanaceae
Hybrid Plantains,,Musa X paradisiaca,"fruit, California, California rare fruits, rare fruits",Musaceae
Ice Cream Bean,8707,Inga,"fruit, California, California rare fruits, rare fruits",Leguminosae
Ichang,,Clausena dentata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Ichang Lemon,,Citrus ichangensis,"fruit, California, California rare fruits, rare fruits",Rutaceae
Ilama,9675,Annona diversifolia,"fruit, California, California rare fruits, rare fruits",Annonaceae
Ilang Ilang,,Cananga odorata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Imbe,8720,Garcinia livingstonei,"fruit, California, California rare fruits, rare fruits",Guttiferae
Imbu,,Spondias tuberosa,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
India Date,,Phoenix sylvestris,"fruit, California, California rare fruits, rare fruits",Palmae
Indian Almond,8737,Terminalia catappa,"fruit, California, California rare fruits, rare fruits",Combretaceae
Indian Almond,8737,Terminalia foetida,"fruit, California, California rare fruits, rare fruits",Combretaceae
Indian Fig,8742,Opuntia ficus-indica,"fruit, California, California rare fruits, rare fruits",Cactaceae
Indian Jujube,8744,Ziziphus mauritiana,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Indian Prune,8746,Flacourtia rukam,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Indian Rhododendrom,,Melastoma malabathricum,"fruit, California, California rare fruits, rare fruits",Melastomaceae
Indian Snakework,,Cecropia peltata,"fruit, California, California rare fruits, rare fruits",Moraceae
Indian Turnip,,Psoralea esculenta,"fruit, California, California rare fruits, rare fruits",Leguminosae
Indian Wampi,,Clausena dentata dulcis,"fruit, California, California rare fruits, rare fruits",Rutaceae
Jaboticaba,8798,Myrciaria cauliflora,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Jackfruit,387,Artocarpus heterophyllus,"fruit, California, California rare fruits, rare fruits",Moraceae
Jakfruit,,Artocarpus heterophyllus,"fruit, California, California rare fruits, rare fruits",Moraceae
Jamaica Cherry,,Muntingia calabura,"fruit, California, California rare fruits, rare fruits",Elaeocarpaceae
Jamaican Honeysuckle,,Passiflora laurifolia,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Jamberry,,Phyalis,"fruit, California, California rare fruits, rare fruits",Solanaceae
Jambolan,,Syzygium cumini,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Jamfruit,,Muntingia calabura,"fruit, California, California rare fruits, rare fruits",Elaeocarpaceae
Japanese Chestnut,8817,Castanea crenata,"fruit, California, California rare fruits, rare fruits",Fagaceae
Japanese Fiber Banana,,Musa basjoo,"fruit, California, California rare fruits, rare fruits",Musaceae
Japanese Hackberry,,Celtis sinesis,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Japanese Medlar,,Eriobotrya japonica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Japanese Pepper Leaf,,Zanthoxylum,"fruit, California, California rare fruits, rare fruits",Rutaceae
Japanese Persimmon,,Diospyros kaki,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Japanese Plum,,Eriobotrya japonica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Japanese Plum,,Prunus japonica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Japanese Plum,,Prunus salicina,"fruit, California, California rare fruits, rare fruits",Rosaceae
Japanese Quince,,Chaenomeles speciosa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Japanese Raisin Tree,,Hovenia dulcis,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Japanese Rose,,Rosa rugosa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Japanese Tea Bush,,Cassia mimosoides,"fruit, California, California rare fruits, rare fruits",Leguminosae
Japanese Yew,,Podocarpus macrophyllus,"fruit, California, California rare fruits, rare fruits",Taxaceae
Japanese Yew,,Taxus cuspidata,"fruit, California, California rare fruits, rare fruits",Taxaceae
Java Almond,,Canarium,"fruit, California, California rare fruits, rare fruits",Burseraceae
Java Apple,8836,Syzygium samarangense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Java Olive,,Sterculia foetida,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Java Plum,8838,Syzygium cumini,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Javanese Almond,,Canarium ovatum,"fruit, California, California rare fruits, rare fruits",Burseraceae
Jelly Palm,8844,Butia capitata,"fruit, California, California rare fruits, rare fruits",Palmae
Jerusalem Artichoke,394,Helianthus tuberosus,"fruit, California, California rare fruits, rare fruits",Compositae
Jicama,9686,Pachyrhizus erosus,"fruit, California, California rare fruits, rare fruits",Leguminosae
Jojoba,8866,Simmondsia chinesis,"fruit, California, California rare fruits, rare fruits",Buxaceae
Jostaberry,,Ribes nidigrolaria (hybrid),"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Jujube,398,Ziziphus jujuba,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Juneberry,,Amelanchier canadensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Juneberry,,Amelanchier laevis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Kaffir Lime,9690,Citrus hystrix,"fruit, California, California rare fruits, rare fruits",Rutaceae
Kaffir Orange,,Strychnos spinosa,"fruit, California, California rare fruits, rare fruits",Strychnaceae
Kaffir Plum,,Harpephyllum caffrum,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Kaffir Plum,,Sclerocarya caffra,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Kaki,,Diospyros kaki,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Kalo,,Colocasia esculenta,"fruit, California, California rare fruits, rare fruits",Araceae
Kangaroo Apple,,Solanum aviculare,"fruit, California, California rare fruits, rare fruits",Solanaceae
Karanda,8935,Carissa congesta,"fruit, California, California rare fruits, rare fruits",Apocynaceae
Karanda Nut,,Elaeocarpus bancroftii,"fruit, California, California rare fruits, rare fruits",Elaeocarpaceae
Kashun,,Dovyalis abyssinica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Katmon,,Dillenia philippinensis,"fruit, California, California rare fruits, rare fruits",Dilleniaceae
Kava Kava,8953,Piper methysticum,"fruit, California, California rare fruits, rare fruits",Piperaceae
Kawa,,Pometia pinnata,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Kawakawa,,Macropiper excelsum,"fruit, California, California rare fruits, rare fruits",Piperaceae
Kei Apple,8966,Dovyalis caffra,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Ken's Red,,Actinidia arguta X melanandra,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Kenaf,,Hibiscus cannabinus,"fruit, California, California rare fruits, rare fruits",Malvaceae
Kepel (Keppel) Apple,,Stelechocarpus burahol,"fruit, California, California rare fruits, rare fruits",Annonaceae
Ketembilla,,Dovyalis hebecarpa,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Ketoepa,,Baccaurea dulcis,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Khirni,,Manilkara hexandra,"fruit, California, California rare fruits, rare fruits",Sapotaceae
King Orange,,Citrus X nobilis,"fruit, California, California rare fruits, rare fruits",Rutaceae
Kitembilla,,Dovyalis hebecarpa,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Kivai Muk,,Artocarpus hypargyraeus,"fruit, California, California rare fruits, rare fruits",Moraceae
Kiwano,9028,Cucumis metuliferus,"fruit, California, California rare fruits, rare fruits",Curcurbitaceae
Kiwifruit,9702,Actinidia deliciosa,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Kokuwa,,Actinidia arguta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Kola Nut,9041,Cola acuminata,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Kola Nut,9041,Cola nitida,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Kolomikta,,Actinidia kolomikta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Koorkup,,Flacourtia inermis,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Koshum,,Dovyalis abyssinica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Kuko,,Lycium chinense,"fruit, California, California rare fruits, rare fruits",Solanaceae
Kumquat,409,Fortunella,"fruit, California, California rare fruits, rare fruits",Rutaceae
"Kuwini, Kuini",,Mangifera odorata,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Kwai Muk,9089,Artocarpus hypargyraeus,"fruit, California, California rare fruits, rare fruits",Moraceae
Lady Apple,9100,Syzygium suborbiculare,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Lakoocha,9116,Artocarpus lakoocha,"fruit, California, California rare fruits, rare fruits",Moraceae
Langsat,9159,Lansium domesticum,"fruit, California, California rare fruits, rare fruits",Meliaceae
Lanzone,,Lansium domesticum,"fruit, California, California rare fruits, rare fruits",Meliaceae
Largo Lulo,,Solanum alibile,"fruit, California, California rare fruits, rare fruits",Solanaceae
Lemon,,Citrus limon,"fruit, California, California rare fruits, rare fruits",Rutaceae
Lemon Grass,1613,Cymbopogon citratus,"fruit, California, California rare fruits, rare fruits",Gramineae
Lemon Guava,9208,Psidium cattleianum lucididum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Lemon Vine,,Pereskia aculeata,"fruit, California, California rare fruits, rare fruits",Cactaceae
Liberian Coffee,9223,Coffea liberica,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Lilly-pilly,,Acmena smithii,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Lime,,Citrus aurantifolia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Limeberry,9253,Triphasia trifolia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Ling Nut,,Trapa bicornis,"fruit, California, California rare fruits, rare fruits",Trapaceae
Lingaro,,Elaeagnus philippensis,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Lingonberry,427,Vaccinium vitis-idaea,"fruit, California, California rare fruits, rare fruits",Ericaceae
Lipote,,Eugenia curranii,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Lipstick Tree,1635,Bixa orellana,"fruit, California, California rare fruits, rare fruits",Bixaceae
Litchee,,Litchi chinensis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Litchi,9270,Litchi chinensis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Llama: see Ilama,,Annona diversifolia,"fruit, California, California rare fruits, rare fruits",Annonaceae
Longan,9738,Dimocarpus longan,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Loquat,434,Eriobotrya japonica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Louvi,9305,Flacourtia inermia,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Love Apple,,Solanum mammosum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Love-in-a-mist,,Passiflora foetida,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Lovi-Lovi,,Flacourtia inermia,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Lowbush Blueberry,,Vaccinium angustifolium,"fruit, California, California rare fruits, rare fruits",Ericaceae
Lowbush Blueberry,,Vaccinium brittonii,"fruit, California, California rare fruits, rare fruits",Ericaceae
Lowbush Blueberry,,Vaccinium lamarckii,"fruit, California, California rare fruits, rare fruits",Ericaceae
Lucma,,Pouteria lucuma,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Lucmo,,Pouteria lucuma,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Lucuma,,Pouteria lucuma,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Lulita,,Solanum hirsutissimum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Luma,,Luma apiculata,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Lychee,437,Litchi chinensis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Mabolo,9745,Diospyros discolor,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Mabulo,,Diospyros discolor,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Macadamia Nut,1657,Macadamia integrifolia,"fruit, California, California rare fruits, rare fruits",Proteaceae
Macadamia Nut,1657,Macadamia tetraphylla,"fruit, California, California rare fruits, rare fruits",Proteaceae
Madagascar Olive,,Noronhia emarginata,"fruit, California, California rare fruits, rare fruits",Oleaceae
Madagascar Plum,,Flacourtia indica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Madagascar Plum,,Flacourtia ramontchi,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Madrono,3474,Rheedia madruno,"fruit, California, California rare fruits, rare fruits",Guttiferae
Magnolia Vine,,Schisandra chinensis,"fruit, California, California rare fruits, rare fruits",Schisandraceae
Maidehair Tree,,Ginkgo biloba,"fruit, California, California rare fruits, rare fruits",Ginkgoaceae
Makopa,,Syzygium samarangense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Makrut,,Citrus hystrix,"fruit, California, California rare fruits, rare fruits",Rutaceae
Malabar Chestnut,3508,Pachira aquatica,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Malabar Melathstome,,Melastoma malabathricum,"fruit, California, California rare fruits, rare fruits",Melastomaceae
Malay Apple,9757,Syzygium malaccense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Malay Jujube,,Zizyphus mauritiana,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Mamey,,Mammea americana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Mamey Colorado,,Pouteria sapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Mamey Sapote,9760,Pouteria sapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Mammee Apple,,Mammea americana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Mamoncillo,9761,Melicoccus bijugatus,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Mandarin Orange,442,Citrus reticulata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Mangaba,,Hancornia speciosa,"fruit, California, California rare fruits, rare fruits",Apocynaceae
Mango,,Mangifera indica,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Mangosteen,9762,Garcinia mangostana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Manis,,Averrhoa carambola,"fruit, California, California rare fruits, rare fruits",Oxalidaceae
Manmohpan,,Terminalia ferdinandiana,"fruit, California, California rare fruits, rare fruits",Combretaceae
Mape,,Inocarpus edulis,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Maprang,3567,Bouea burmanica,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Maprang,3567,Bouea macrophylla,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Marang,9764,Artocarpus odoratissima,"fruit, California, California rare fruits, rare fruits",Moraceae
Marany Nut,,Semecarpus anacardium,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Marking Nut,,Semecarpus anacardium,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Marmalade Box,,Genipa americana,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Marmalade Plum,,Pouteria sapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Marsh Nut,,Semecarpus anacardium,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Martin,,Mammea americana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Martinique Plum,,Flacourtia inermis,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Marula,3598,Sclerocarya caffra,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Marumi Kumquat,,Fortunella japonica,"fruit, California, California rare fruits, rare fruits",Rutaceae
Marvala Plum,,Sclerocarya caffra,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Matasano,,Casimiroa tetrameria,"fruit, California, California rare fruits, rare fruits",Rutaceae
Mate,,Ilex paraguensis,"fruit, California, California rare fruits, rare fruits",Aquifoliaceae
Matrimony Vine,,Lycium chinense,"fruit, California, California rare fruits, rare fruits",Solanaceae
Mauritius Raspberry,,Rubus rosaefolius,"fruit, California, California rare fruits, rare fruits",Rosaceae
May Cherry,,Amelanchier,"fruit, California, California rare fruits, rare fruits",Rosaceae
Mayan Breadnut,3624,Brosimum alicastrum,"fruit, California, California rare fruits, rare fruits",Moraceae
Mayhaw,3627,Crataegus opaca,"fruit, California, California rare fruits, rare fruits",Rosaceae
Maypop,3631,Passiflora incarnata,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Medlar,9779,Mimisops elengi,"fruit, California, California rare fruits, rare fruits",Rosaceae
Medlar,9779,Mespilus germanica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Meiwa Kumquat,,Fortunella margarita X japonica,"fruit, California, California rare fruits, rare fruits",Rutaceae
Mexican Avocado,,Persea americana drymifolia,"fruit, California, California rare fruits, rare fruits",Lauraceae
Mexican Barberry,,Berberis haematocarpa,"fruit, California, California rare fruits, rare fruits",Berberidaceae
Mexican Breadfruit,,Monstera deliciosa,"fruit, California, California rare fruits, rare fruits",Araceae
Mexican Calabash,,Parmentiera alata,"fruit, California, California rare fruits, rare fruits",Bignoniaceae
Mexican Lime,,Citrus aurantifolia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Meyer Lemon,460,Citrus limon X reticulata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Michurin Actinidia,,Actinidia kolomikta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Miner's Lettuce,3726,Montia perfoliata,"fruit, California, California rare fruits, rare fruits",Portulacaceae
Miracle Fruit,3736,Synsepalum dulcificum,"fruit, California, California rare fruits, rare fruits",Sapotaceae
