"ACCID,N,6,0","DNO,N,6,0",description,food_color_background,variety,sample_statistic,"SPNNO,N,6,0",depiction,scientific_name,scientific_family,common_name,name,date_collected,alititude,longitude,latitude,pedigree,"SIDTYP,C,1","SIDID,C,40"
751970,,,9d9e30,Ames 29378,Wild,402171,,Cucumis prophetarum subsp. prophetarum,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. Ames 29378","Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. Ames 29378",03/01/06,-999,,,,O,Ames 29378
751970,,,9d9e30,22,Wild,402171,http://farm7.staticflickr.com/6205/6120785955_d5a85bdf99_z.jpg,Cucumis prophetarum subsp. prophetarum,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. 22","Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. 22",03/01/06,-999,,,,D,22
427563,123057,Population 5 plants,c3e688,79,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. 79",04/08/87,1510,30.86667,-19.3,,D,79
427564,123057,Population 7 plants,c3e688,85,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. 85",04/11/87,1640,32.36667,-18.41667,,D,85
537027,123057,"Fruit: soft spines, 3.2 cm length X 2.8 cm diam.,",c3e688,Ames 23542,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. Ames 23542",04/28/96,880,27.86556,-23.65583,,O,Ames 23542
537027,123057,"Fruit: soft spines, 3.2 cm length X 2.8 cm diam.,",c3e688,JEWM 017,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. JEWM 017",04/28/96,880,27.86556,-23.65583,,C,JEWM 017
280236,123057,"Second generation seed from sample received from S. Rehm,",9d9e30,LJ 90898,Wild,404376,,Cucumis myriocarpus subsp. leptodermis,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis myriocarpus subsp. leptodermis, var. LJ 90898","Wild Cucurbitaceae. Cucumis myriocarpus subsp. leptodermis, var. LJ 90898",02/01/56,,,,,I,LJ 90898
167114,123057,"A wild cucumber, eaten cooked with ground meat.",89d9a4,8,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. 8",,,,,,D,8
184717,6001,Received as component of PI 193490 (Citrullus vulgaris),89d9a4,8501,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. 8501",01/01/50,-999,,,,C,8501
407027,123057,"Fruits oblong, spiny, light green to yellow. Growing as",22422d,841126-05,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. 841126-05",11/26/84,-999,,,,C,841126-05
407027,123057,"Fruits oblong, spiny, light green to yellow. Growing as",22422d,Meloncillo.,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Meloncillo.",11/26/84,-999,,,,L,Meloncillo.
389760,123057,Fruit small.,89d9a4,ZFA 3310,Traditional cultivar/landrace,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. ZFA 3310",06/23/82,-999,24.16667,-13.83333,,C,ZFA 3310
537029,123057,"Fruit: soft spines, 2.5 cm length X 2.1 cm diam., globular;",89d9a4,Ames 23544,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Ames 23544",04/29/96,936,26.91944,-24.50611,,O,Ames 23544
537029,123057,"Fruit: soft spines, 2.5 cm length X 2.1 cm diam., globular;",89d9a4,JEWM 027,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. JEWM 027",04/29/96,936,26.91944,-24.50611,,C,JEWM 027
537030,123057,"Fruit: soft spines, 3.6 cm length X 2.7 cm diam., globular;",89d9a4,Ames 23545,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Ames 23545",04/29/96,886,26.89222,-24.45444,,O,Ames 23545
537030,123057,"Fruit: soft spines, 3.6 cm length X 2.7 cm diam., globular;",89d9a4,JEWM 030,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. JEWM 030",04/29/96,886,26.89222,-24.45444,,C,JEWM 030
537069,123057,"Fruit: soft spines, 3.8 cm length X 3.2 cm diam., globular;",89d9a4,Ames 23584,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Ames 23584",05/06/96,1095,26.19167,-24.69222,,O,Ames 23584
537069,123057,"Fruit: soft spines, 3.8 cm length X 3.2 cm diam., globular;",89d9a4,JEWM 105,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. JEWM 105",05/06/96,1095,26.19167,-24.69222,,C,JEWM 105
537070,123057,"Fruit: soft spines, 4.3 cm length X 3.1 cm diam., globular;",89d9a4,Ames 23585,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Ames 23585",05/06/96,1025,26.2025,-24.68361,,O,Ames 23585
537070,123057,"Fruit: soft spines, 4.3 cm length X 3.1 cm diam., globular;",89d9a4,JEWM 106,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. JEWM 106",05/06/96,1025,26.2025,-24.68361,,C,JEWM 106
537073,123057,"Fruit: soft spines, 3.0 cm length X 3.0 cm diam. (min.)-5.0",89d9a4,Ames 23588,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Ames 23588",05/06/96,1022,26.23,-24.67694,,O,Ames 23588
537073,123057,"Fruit: soft spines, 3.0 cm length X 3.0 cm diam. (min.)-5.0",89d9a4,JEWM 109,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. JEWM 109",05/06/96,1022,26.23,-24.67694,,C,JEWM 109
87555,123057,,9d9e30,Moss 888,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Moss 888","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Moss 888",,,,,,O,Moss 888
87555,123057,,9d9e30,Ames 22076,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 22076","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 22076",,,,,,O,Ames 22076
192838,123057,"Prostrate monoecious annual; leaves 2-4 inches long,",f3f518,Gatooma 26,Other,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Gatooma 26","Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Gatooma 26",08/11/58,-999,,,,V,Gatooma 26
192839,123057,"Prostrate monoecious annual; leaves 2-4 inches long,",f3f518,Gatooma 29,Other,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Gatooma 29","Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Gatooma 29",08/11/58,-999,,,,V,Gatooma 29
192842,123057,"Prostrate monoecious annual; leaves 2-4 inches long,",f3f518,Clark 156,Other,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Clark 156","Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Clark 156",08/11/58,-999,,,,V,Clark 156
192843,123057,"Prostrate monoecious annual; leaves 2-4 inches long,",f3f518,Jensen,Other,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Jensen","Other Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Jensen",08/11/58,-999,,,,V,Jensen
437070,123057,Ten plants sampled. Soil Ph 7.6. Associated species:,9d9e30,600,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 600","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 600",04/04/88,940,23.48333,-20.13333,,D,600
437071,123057,Two pants sampled out of a population of 10. Soil pH 7.4.,9d9e30,605,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 605","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 605",04/06/88,950,23.21667,-20.36667,,D,605
437072,123057,Three plants sampled.,9d9e30,JT 63,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JT 63","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JT 63",04/15/88,-999,19.08333,-23.16667,,D,JT 63
537021,123057,"Fruit: soft spines, 4.4 cm length X 3.3 cm diam., oblong;",9d9e30,Ames 23536,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23536","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23536",04/27/96,1149,28.68611,-24.67139,,O,Ames 23536
537021,123057,"Fruit: soft spines, 4.4 cm length X 3.3 cm diam., oblong;",9d9e30,JEWM 005,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 005","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 005",04/27/96,1149,28.68611,-24.67139,,C,JEWM 005
272959,123057,Received as Cucumis zeyheri. Prostrate vine.,9d9e30,1441,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 1441","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 1441",06/15/71,-999,31.61667,-23.85,,C,1441
427561,123057,Population one plant,9d9e30,104,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 104","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 104",04/23/87,380,28.85,-10.08333,,D,104
427562,123057,Population more than 100 plants,9d9e30,112,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 112","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 112",06/30/87,380,29,-16.16667,,D,112
427568,123057,Population 8 plants,9d9e30,75,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 75","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. 75",04/06/87,745,32.08333,-14.95,,D,75
537026,123057,"Fruit: soft spines, 3.2 cm length X 2.8 cm diam.,",9d9e30,Ames 23541,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23541","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23541",04/28/96,880,27.86556,-23.65583,,O,Ames 23541
537026,123057,"Fruit: soft spines, 3.2 cm length X 2.8 cm diam.,",9d9e30,JEWM 016,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 016","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 016",04/28/96,880,27.86556,-23.65583,,C,JEWM 016
537033,123057,"Fruit: soft spines, globular; skin: yellow, no netting;",dee224,Ames 23548,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23548","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23548",04/29/96,934,26.40528,-24.65222,,O,Ames 23548
537033,123057,"Fruit: soft spines, globular; skin: yellow, no netting;",dee224,JEWM 033,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 033","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 033",04/29/96,934,26.40528,-24.65222,,C,JEWM 033
537035,123057,"Fruit: soft spines, 4.0 cm length X 3.3 cm diam., globular;",9d9e30,Ames 23550,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23550","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23550",04/29/96,904,26.38417,-24.64139,,O,Ames 23550
537035,123057,"Fruit: soft spines, 4.0 cm length X 3.3 cm diam., globular;",9d9e30,JEWM 036,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 036","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 036",04/29/96,904,26.38417,-24.64139,,C,JEWM 036
537074,123057,"Fruit: soft spines, 5.0 cm length X 3.9 cm diam.,",9d9e30,Ames 23589,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23589","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. Ames 23589",05/06/96,964,26.31833,-24.65528,,O,Ames 23589
537074,123057,"Fruit: soft spines, 5.0 cm length X 3.9 cm diam.,",9d9e30,JEWM 110,Wild,404384,,Cucumis anguria var. longaculeatus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 110","Wild Cucurbitaceae. Cucumis anguria var. longaculeatus, var. JEWM 110",05/06/96,964,26.31833,-24.65528,,C,JEWM 110
400533,123057,"Fruit spiny. Seeds boiled, mixed with soda, crushed peanut.",f1e575,Katanda,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. Katanda",06/16/84,1320,24.13333,-11.9,,L,Katanda
400533,123057,"Fruit spiny. Seeds boiled, mixed with soda, crushed peanut.",f1e575,ZM/A 5019,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM/A 5019",06/16/84,1320,24.13333,-11.9,,C,ZM/A 5019
400541,123057,,f1e575,ZM/A 5030,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM/A 5030",06/16/84,1300,24.08333,-11.96667,,C,ZM/A 5030
400542,123057,Original GRIN comment = used for relish.  (Comment in,f1e575,Katanda,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. Katanda",06/17/84,1340,24.3,-11.41667,,L,Katanda
400542,123057,Original GRIN comment = used for relish.  (Comment in,f1e575,ZM/A 5078,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM/A 5078",06/17/84,1340,24.3,-11.41667,,C,ZM/A 5078
400543,123057,,f1e575,ZM/A 5086,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM/A 5086",06/17/84,1290,24.25,-11.33333,,C,ZM/A 5086
400544,123057,Accession does not key out with Flora Zambesiaca or,f1e575,Katanda,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. Katanda",06/17/84,1180,24.25,-11.2,,L,Katanda
400544,123057,Accession does not key out with Flora Zambesiaca or,f1e575,ZM/A 5092,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM/A 5092",06/17/84,1180,24.25,-11.2,,C,ZM/A 5092
400545,123057,,f1e575,ZM/A 5105,Traditional cultivar/landrace,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM/A 5105",06/17/84,1160,24.16667,-11.16667,,C,ZM/A 5105
395345,123057,"Fruit has soft, small spines.",f1e575,ZM 2279,Other,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM 2279",06/02/81,-999,28.3,-13.4,,C,ZM 2279
395356,123057,"Fruit small, spines thin.",f1e575,ZM 2486,Other,458034,,Cucumis zambianus,Cucurbitaceae,Katanda,"Katanda, var. ZM 2486",06/05/81,-999,28.5,-13.3,,C,ZM 2486
206449,123057,Sprawling herb; flowers yellow; mature fruits covered with,dee224,967,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 967","Wild Cucurbitaceae. Cucumis africanus, var. 967",06/27/61,-999,20.43333,-31.71667,,C,967
226236,123057,"Local name: wild cucumber, bitter cucumber. Fruits",9d9e30,244,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 244","Wild Cucurbitaceae. Cucumis africanus, var. 244",04/01/64,1478,28.16667,-25.75,,C,244
226238,6001,"Fruits variable green when immature, yellow when ripe, 1.5",22422d,563,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 563","Wild Cucurbitaceae. Cucumis africanus, var. 563",04/01/64,1219,24.51667,-28.53333,,C,563
280235,123057,"Fourth generation seed from sample received from S. Rehm,",9d9e30,LJ 90901,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. LJ 90901","Wild Cucurbitaceae. Cucumis africanus, var. LJ 90901",02/01/56,,,,,I,LJ 90901
437061,123057,"Fruits about 5cm long, soft spiny with brown longitudial",9d9e30,JT31,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JT31","Wild Cucurbitaceae. Cucumis africanus, var. JT31",03/22/88,1090,-22.08333,-20.83333,,D,JT31
437062,123057,Two plants sampled.,9d9e30,JT48,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JT48","Wild Cucurbitaceae. Cucumis africanus, var. JT48",04/04/88,910,,,,D,JT48
437063,123057,Ten plants sampled out a population of 25.,9d9e30,JT53,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JT53","Wild Cucurbitaceae. Cucumis africanus, var. JT53",04/05/88,915,23.41667,-20.08333,,D,JT53
437064,123057,Ten plants sampled out of a population of 20. Soil pH 8.,9d9e30,515,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 515","Wild Cucurbitaceae. Cucumis africanus, var. 515",03/17/88,1150,24.55,-24.13333,,D,515
437065,123057,Two plants sampled out of a population of 6. Soil pH 7.2.,9d9e30,540,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 540","Wild Cucurbitaceae. Cucumis africanus, var. 540",03/19/88,1050,22.51667,-23.36667,,D,540
437066,123057,Two plants sampled out of a population of 4. Soil pH 7.3.,9d9e30,549,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 549","Wild Cucurbitaceae. Cucumis africanus, var. 549",03/20/88,1050,22.13333,-23,,D,549
437067,123057,One plant sampled. Soil pH 7.9. Associated species:,9d9e30,581,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 581","Wild Cucurbitaceae. Cucumis africanus, var. 581",03/25/88,1050,21.36667,-23.46667,,D,581
437068,123057,Two plants sampled out of a population of 5. Soil pH 6.8.,9d9e30,587,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 587","Wild Cucurbitaceae. Cucumis africanus, var. 587",03/27/88,1100,22.03333,-25.13333,,D,587
437069,123057,One plant sampled . Soil pH 7.8. Associated species:,9d9e30,589,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 589","Wild Cucurbitaceae. Cucumis africanus, var. 589",03/27/88,1100,22.05,-25.2,,D,589
336925,,Highly susceptible to nematodes. Wild.,9d9e30,IVT 0162,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. IVT 0162","Wild Cucurbitaceae. Cucumis africanus, var. IVT 0162",09/01/78,-999,,,,I,IVT 0162
336925,,Highly susceptible to nematodes. Wild.,9d9e30,C78202,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. C78202","Wild Cucurbitaceae. Cucumis africanus, var. C78202",09/01/78,-999,,,,O,C78202
427596,123057,Fruits fairly bitter. Calcrebe,9d9e30,139,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 139","Wild Cucurbitaceae. Cucumis africanus, var. 139",,-999,,,,D,139
427596,123057,Fruits fairly bitter. Calcrebe,9d9e30,Chadwick 124,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Chadwick 124","Wild Cucurbitaceae. Cucumis africanus, var. Chadwick 124",,-999,,,,C,Chadwick 124
427597,123057,Bitterness greater than PI 532660,9d9e30,140,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 140","Wild Cucurbitaceae. Cucumis africanus, var. 140",,-999,,,,D,140
427597,123057,Bitterness greater than PI 532660,9d9e30,Chadwick 123,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Chadwick 123","Wild Cucurbitaceae. Cucumis africanus, var. Chadwick 123",,-999,,,,C,Chadwick 123
427598,123057,,9d9e30,142,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. 142","Wild Cucurbitaceae. Cucumis africanus, var. 142",,-999,,,,D,142
427598,123057,,9d9e30,Chadwick 256,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Chadwick 256","Wild Cucurbitaceae. Cucumis africanus, var. Chadwick 256",,-999,,,,C,Chadwick 256
537038,123057,"Fruit: conical spines, 5.0 cm length X 3.2 cm diam.,",9d9e30,Ames 23553,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Ames 23553","Wild Cucurbitaceae. Cucumis africanus, var. Ames 23553",04/30/96,1133,24.82556,-26.0325,,O,Ames 23553
537038,123057,"Fruit: conical spines, 5.0 cm length X 3.2 cm diam.,",9d9e30,JEWM 042,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JEWM 042","Wild Cucurbitaceae. Cucumis africanus, var. JEWM 042",04/30/96,1133,24.82556,-26.0325,,C,JEWM 042
537038,123057,"Fruit: conical spines, 5.0 cm length X 3.2 cm diam.,",9d9e30,ZA 6145,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. ZA 6145","Wild Cucurbitaceae. Cucumis africanus, var. ZA 6145",04/30/96,1133,24.82556,-26.0325,,L,ZA 6145
537040,123057,"Fruit: conical spines flattened, 5.6 cm length X 3.0 cm",9d9e30,Ames 23555,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Ames 23555","Wild Cucurbitaceae. Cucumis africanus, var. Ames 23555",04/30/96,1122,24.53333,-25.93889,,O,Ames 23555
537040,123057,"Fruit: conical spines flattened, 5.6 cm length X 3.0 cm",9d9e30,JEWM 046,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JEWM 046","Wild Cucurbitaceae. Cucumis africanus, var. JEWM 046",04/30/96,1122,24.53333,-25.93889,,C,JEWM 046
537040,123057,"Fruit: conical spines flattened, 5.6 cm length X 3.0 cm",9d9e30,ZA 6149,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. ZA 6149","Wild Cucurbitaceae. Cucumis africanus, var. ZA 6149",04/30/96,1122,24.53333,-25.93889,,L,ZA 6149
537041,123057,"Fruit: conical spines, 4.6 cm length X 3.0 cm diam.,",9d9e30,Ames 23556,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Ames 23556","Wild Cucurbitaceae. Cucumis africanus, var. Ames 23556",04/30/96,1167,24.11306,-25.72778,,O,Ames 23556
537041,123057,"Fruit: conical spines, 4.6 cm length X 3.0 cm diam.,",9d9e30,JEWM 050,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JEWM 050","Wild Cucurbitaceae. Cucumis africanus, var. JEWM 050",04/30/96,1167,24.11306,-25.72778,,C,JEWM 050
537043,123057,"Fruit: soft spines, 3.6 cm length X 2.6 cm diam.,",9d9e30,Ames 23558,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Ames 23558","Wild Cucurbitaceae. Cucumis africanus, var. Ames 23558",05/01/96,1179,23.69806,-25.4725,,O,Ames 23558
537043,123057,"Fruit: soft spines, 3.6 cm length X 2.6 cm diam.,",9d9e30,JEWM 055,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JEWM 055","Wild Cucurbitaceae. Cucumis africanus, var. JEWM 055",05/01/96,1179,23.69806,-25.4725,,C,JEWM 055
537044,123057,"Fruit: soft spines, 4.0 cm length X 2.3 cm diam., oblong;",9d9e30,Ames 23559,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Ames 23559","Wild Cucurbitaceae. Cucumis africanus, var. Ames 23559",05/01/96,1179,23.69806,-25.4725,,O,Ames 23559
537044,123057,"Fruit: soft spines, 4.0 cm length X 2.3 cm diam., oblong;",9d9e30,JEWM 056,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JEWM 056","Wild Cucurbitaceae. Cucumis africanus, var. JEWM 056",05/01/96,1179,23.69806,-25.4725,,C,JEWM 056
537045,123057,"Fruit: conical spines, 4.4 cm length X 2.7 cm diam.,",9d9e30,Ames 23560,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. Ames 23560","Wild Cucurbitaceae. Cucumis africanus, var. Ames 23560",05/01/96,1116,23.69861,-25.79556,,O,Ames 23560
537045,123057,"Fruit: conical spines, 4.4 cm length X 2.7 cm diam.,",9d9e30,JEWM 058,Wild,12544,,Cucumis africanus,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis africanus, var. JEWM 058","Wild Cucurbitaceae. Cucumis africanus, var. JEWM 058",05/01/96,1116,23.69861,-25.79556,,C,JEWM 058
